309.577, 129.491, 4.014,  4.379 False
309.443, 129.491, 4.044,  4.412 False
309.307, 129.491, 4.075,  4.445 False
309.171, 129.491, 4.106,  4.478 False
309.033, 129.491, 4.136,  4.511 False
308.894, 129.491, 4.166,  4.544 False
308.755, 129.491, 4.197,  4.577 False
308.614, 129.492, 4.228,  4.610 False
308.472, 129.492, 4.258,  4.643 False
308.330, 129.492, 4.288,  4.676 False
308.186, 129.492, 4.318,  4.709 False
308.041, 129.492, 4.349,  4.742 False
307.896, 129.492, 4.379,  4.775 False
307.749, 129.492, 4.409,  4.808 False
307.601, 129.492, 4.439,  4.841 False
307.452, 129.492, 4.469,  4.874 False
307.303, 129.492, 4.499,  4.907 False
307.152, 129.492, 4.529,  4.940 False
307.000, 129.492, 4.559,  4.973 False
306.848, 129.492, 4.589,  5.006 False
306.694, 129.492, 4.618,  5.039 False
306.539, 129.492, 4.648,  5.072 False
306.384, 129.492, 4.678,  5.105 False
306.227, 129.492, 4.708,  5.138 False
306.069, 129.492, 4.737,  5.171 False
305.910, 129.492, 4.767,  5.204 False
305.751, 129.492, 4.798,  5.237 False
305.590, 129.492, 4.828,  5.270 False
305.428, 129.492, 4.858,  5.303 False
305.266, 129.492, 4.888,  5.336 False
305.102, 129.492, 4.917,  5.369 False
304.938, 129.492, 4.947,  5.402 False
304.772, 129.492, 4.976,  5.435 False
304.605, 129.492, 5.006,  5.468 False
304.438, 129.492, 5.035,  5.501 False
304.269, 129.492, 5.066,  5.534 False
304.099, 129.492, 5.095,  5.567 False
303.929, 129.491, 5.124,  5.600 False
303.757, 129.491, 5.153,  5.633 False
303.585, 129.494, 5.176,  5.666 False
303.412, 129.503, 5.187,  5.699 False
303.239, 129.514, 5.213,  5.732 False
303.065, 129.527, 5.233,  5.765 False
302.891, 129.541, 5.235,  5.798 False
302.717, 129.557, 5.234,  5.831 False
302.544, 129.574, 5.239,  5.864 False
302.370, 129.593, 5.254,  5.897 False
302.195, 129.612, 5.282,  5.930 False
302.018, 129.630, 5.315,  5.963 False
301.841, 129.650, 5.349,  5.996 False
301.663, 129.670, 5.386,  6.029 False
301.484, 129.694, 5.416,  6.062 False
301.304, 129.721, 5.455,  6.095 False
301.124, 129.751, 5.495,  6.128 False
300.941, 129.781, 5.539,  6.161 False
300.758, 129.814, 5.578,  6.194 False
300.575, 129.849, 5.617,  6.227 False
300.389, 129.882, 5.664,  6.260 False
300.202, 129.916, 5.706,  6.293 False
