-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.101,  0.247
-183.798, 80.187, 0.213,  0.280
-183.795, 80.177, 0.332,  0.313
-183.791, 80.162, 0.452,  0.346
-183.785, 80.144, 0.540,  0.379
-183.777, 80.123, 0.627,  0.412
-183.764, 80.098, 0.801,  0.445
-183.747, 80.067, 0.968,  0.478
-183.724, 80.031, 1.109,  0.511
-183.696, 79.992, 1.258,  0.544
-183.666, 79.946, 1.482,  0.577
-183.636, 79.893, 1.728,  0.610
-183.607, 79.832, 1.966,  0.643
-183.581, 79.763, 2.173,  0.676
-183.559, 79.689, 2.314,  0.709
-183.542, 79.612, 2.383,  0.742
-183.531, 79.533, 2.407,  0.775
-183.523, 79.454, 2.397,  0.808
-183.519, 79.376, 2.361,  0.841
-183.519, 79.299, 2.305,  0.874
-183.522, 79.225, 2.232,  0.907
-183.525, 79.152, 2.192,  0.940
-183.525, 79.080, 2.161,  0.973
-183.521, 79.010, 2.115,  1.006
-183.517, 78.942, 2.054,  1.039
-183.512, 78.876, 1.995,  1.072
-183.507, 78.812, 1.933,  1.105
-183.501, 78.751, 1.840,  1.138
-183.495, 78.693, 1.764,  1.171
-183.489, 78.637, 1.709,  1.204
-183.484, 78.581, 1.674,  1.237
-183.478, 78.526, 1.657,  1.270
-183.473, 78.471, 1.661,  1.303
-183.467, 78.416, 1.683,  1.336
-183.461, 78.358, 1.721,  1.369
-183.455, 78.300, 1.769,  1.402
-183.449, 78.239, 1.819,  1.435
-183.443, 78.177, 1.865,  1.468
-183.436, 78.114, 1.899,  1.501
-183.430, 78.050, 1.919,  1.534
-183.423, 77.986, 1.927,  1.567
-183.419, 77.922, 1.918,  1.600
-183.415, 77.859, 1.908,  1.633
-183.410, 77.796, 1.894,  1.666
-183.404, 77.734, 1.878,  1.699
-183.399, 77.672, 1.862,  1.732
